"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"W",49,"Grass","Calycadenia pauciflora",12,13,0,0,0,31
2017,"W",49,"Thatch","Clarkia purpurea",14,16,2,13,15,30
2017,"C",50,"Grass","Clarkia purpurea",15,15,1,11,12,30
2017,"C",50,"Grass","Hemizonia congesta",20,15,0,2,2,32
2017,"C",50,"No Grass","Lasthenia californica",46,15,0,0,0,100
2017,"C",50,"Thatch","Agoseris heterophylla",56,16,1,5,6,94
2017,"C",50,"No Grass","Agoseris heterophylla",94,15,0,4,4,94
2017,"C",50,"Thatch","Calycadenia pauciflora",3,3,2,1,3,31
2017,"C",50,"Grass","Lasthenia californica",29,15,0,0,0,100
2017,"C",50,"Grass","Agoseris heterophylla",63,16,1,0,1,94
2017,"C",50,"No Grass","Hemizonia congesta",14,15,0,10,10,32
2017,"C",50,"No Grass","Clarkia purpurea",28,15,0,9,9,30
2017,"C",50,"No Grass","Calycadenia pauciflora",24,15,0,11,11,31
2017,"C",50,"Grass","Plantago erecta",61,15,0,0,0,99
2017,"C",50,"Thatch","Hemizonia congesta",13,17,3,11,14,32
2017,"C",50,"Thatch","Lasthenia californica",21,15,3,0,3,100
2017,"C",50,"Thatch","Plantago erecta",43,15,0,0,0,99
2017,"C",50,"Grass","Calycadenia pauciflora",19,15,0,8,8,31
2017,"C",50,"No Grass","Plantago erecta",99,15,0,0,0,99
2017,"C",50,"Thatch","Clarkia purpurea",10,13,4,8,12,30
2017,"W",55,"Thatch","Plantago erecta",45,15,0,3,3,99
2017,"W",55,"Thatch","Lasthenia californica",16,15,0,6,6,100
2017,"W",55,"Grass","Plantago erecta",67,15,0,1,1,99
2017,"W",55,"Thatch","Calycadenia pauciflora",14,14,2,10,12,31
2017,"W",55,"No Grass","Lasthenia californica",18,16,1,0,1,100
2017,"W",55,"Grass","Hemizonia congesta",32,15,0,4,4,32
2017,"W",55,"Thatch","Hemizonia congesta",32,17,3,1,4,32
2017,"W",55,"Thatch","Clarkia purpurea",10,11,1,10,11,30
2017,"W",55,"Grass","Clarkia purpurea",20,15,3,9,12,30
2017,"W",55,"No Grass","Hemizonia congesta",29,16,1,0,1,32
2017,"W",55,"No Grass","Calycadenia pauciflora",14,14,0,12,12,31
2017,"W",55,"No Grass","Clarkia purpurea",26,16,1,8,9,30
2017,"W",55,"Grass","Lasthenia californica",20,15,0,1,1,100
2017,"W",55,"No Grass","Agoseris heterophylla",79,15,0,0,0,94
2017,"W",55,"Grass","Calycadenia pauciflora",20,15,0,10,10,31
2017,"W",55,"No Grass","Plantago erecta",68,15,0,0,0,99
2017,"W",55,"Thatch","Agoseris heterophylla",75,15,0,7,7,94
2017,"W",55,"Grass","Agoseris heterophylla",79,15,0,1,1,94
2017,"C",56,"Thatch","Lasthenia californica",24,16,2,0,2,100
2017,"C",56,"No Grass","Lasthenia californica",35,15,0,0,0,100
2017,"C",56,"Thatch","Calycadenia pauciflora",10,10,3,7,10,31
