Species_Name,Plot,Year,Count,Notes,viable,Treat.Code,avg.num.per.sub,p.surv,stem.g.F,leaf.g.F,repr.g.F,total.g.F,CN.F,RGR.la.F,d13C.F,SLA.F,stem.g.GH,leaf.g.GH,repr.g.GH,total.g.GH,CN.GH,RGRt.GH,RGR.la.GH,d13C.GH,SLA.GH,PC1
Plantago erecta,82,2017,64,NA,99,C,99,0.646464646,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,50,2017,69,NA,99,C,99,0.696969697,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,86,2017,70,NA,99,C,99,0.707070707,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,56,2017,65,NA,99,C,99,0.656565657,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,30,2017,75,NA,99,C,99,0.757575758,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,18,2017,23,NA,99,C,99,0.232323232,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,84,2017,76,NA,99,C,99,0.767676768,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,98,2017,71,NA,99,C,99,0.717171717,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,96,2017,91,NA,99,C,99,0.919191919,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,92,2017,63,NA,99,C,99,0.636363636,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
