Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Lasthenia californica,18,No Grass,C,2017,5/19/17,0,0,8,1.8,0.447213595,5,31.82352941,57.28235294,NA,0.973557692
Lasthenia californica,56,Thatch,C,2017,5/19/17,0,0,3,1,0,5,6.666666667,6.666666667,55,0.973557692
Lasthenia californica,98,No Grass,C,2017,4/9/17,10,4,0,1,0,5,17,17,NA,0.973557692
Lasthenia californica,50,Thatch,C,2017,5/19/17,0,0,1,1,0,5,2.2,2.2,80,0.973557692
Lasthenia californica,82,Thatch,C,2017,5/19/17,0,0,12,1,0,5,28.18181818,28.18181818,80,0.973557692
Lasthenia californica,84,Thatch,C,2017,5/19/17,0,0,6,1,0,5,8.166666667,8.166666667,90,0.973557692
Lasthenia californica,30,Grass,C,2017,4/9/17,3,12,0,1.4,0.547722558,5,20.14285714,28.2,75,0.973557692
Lasthenia californica,96,Grass,C,2017,4/9/17,12,3,0,1,0,5,31.5,31.5,25,0.973557692
Lasthenia californica,92,Thatch,C,2017,5/19/17,0,0,5,1.2,0.447213595,5,21.83333333,26.2,80,0.973557692
Lasthenia californica,98,Grass,C,2017,4/9/17,12,3,0,1,0,5,12.71428571,12.71428571,80,0.973557692
Lasthenia californica,86,Grass,C,2017,4/9/17,2,13,0,1.6,0.894427191,5,58.22222222,93.15555556,40,0.973557692
Lasthenia californica,92,No Grass,C,2017,4/9/17,8,4,0,1.4,0.547722558,5,34.7,48.58,NA,0.973557692
Lasthenia californica,96,Thatch,C,2017,5/19/17,0,0,1,1,NA,1,3,3,80,0.973557692
Lasthenia californica,82,Grass,C,2017,5/19/17,0,0,4,1.4,0.547722558,5,23.53846154,32.95384615,45,0.973557692
Lasthenia californica,84,Grass,C,2017,4/9/17,5,10,0,1,0,5,15.46666667,15.46666667,50,0.973557692
Lasthenia californica,96,No Grass,C,2017,5/19/17,0,1,4,1.4,0.547722558,5,12.4,17.36,NA,0.973557692
Plantago erecta,18,Grass,C,2017,5/19/17,0,9,6,3.4,1.949358869,5,2,6.8,95,0.896396396
Plantago erecta,56,No Grass,C,2017,5/19/17,0,4,11,6.6,4.098780306,5,2,13.2,NA,0.896396396
Plantago erecta,98,Thatch,C,2017,5/19/17,0,3,12,2.4,1.140175425,5,2,4.8,30,0.896396396
Plantago erecta,92,No Grass,C,2017,5/19/17,0,12,3,9.8,6.57267069,5,2,19.6,NA,0.896396396
